edge_id,citing_paper_title,cited_paper_title,alignment_status,matched_cue_words,context_excerpt,DeepSeek_sentiment,DeepSeek_relevance,DeepSeek_section,manual_check_needed
W2509511072->W1994174199,Understanding rollover data,Smart data pricing: To share or not to share?,high_confidence,challenge,"This heterogeneous data usage brings challenges todesigning mobile data plans, as the available monthly dataquotas may not ﬁt different users’ needs. Shared data plans [3]–[6] can help to even out the het- erogeneity in user demands by allowing multiple use",0.5,0.6,Introduction,1
W2509511072->W2010653253,Understanding rollover data,A survey of smart data pricing,high_confidence,cannot; limited,"Most Internet service providers (ISPs) today charge their users a ﬂat fee for a limited amount of mobile data that can be used each month, with steep overage fees for exceeding thismonthly quota [1]. Moreover, in most cases, leftover data atthe end of each month cannot be rolled over into subsequent",0.0,0.4,Introduction,1
W4210813858->W2612128091,Data Boundary and Data Pricing Based on the Shapley Value,QIRANA,high_confidence,but; however,"owners to choose from a variety of pricing functions, specify relation and attribute-level parameters to control the prices of queries. However, most queries considered by these marketplaces are too simplistic to support sophisticated data analytics and decision making.",0.5,0.4,Methodology,1
W4210813858->W2293940046,Data Boundary and Data Pricing Based on the Shapley Value,Query-Based Data Pricing,high_confidence,but; problem,"generates the objective function and corresponding constraints, forming an ILP problem to get the prices. Researchers improved their studies and proposed a framework that allows the price of any query to be derived automatically [26]. QIRANA pricing sys- tem [27] allows exible pricing by allowing t",0.5,0.6,Methodology,1
W4226305897->W2734426755,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,grouped,but,"cloud resources [ 57], spatial data [ 58], aggregated data from multiple distributed system [ 59], and data acquired from Application Programming Interfaces (APIs) [ 60]. Moreover, Tang et al.",0.0,0.2,Introduction,1
W4226305897->W2743929098,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Data pricing strategy based on data quality,high_confidence,but,"tical programming model [ 63], Fair Knapsack Pricing [ 64,65], or optimal distributing algorithm [ 66]. Other works on data quality-based pricing speciﬁcally focus on XML dataset properties [ 67,68].",0.4,0.5,Discussion,1
W4226305897->W2765365501,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,grouped,but; challenge; unlike,"a marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-ba",0.5,0.6,Discussion,1
W4226305897->W2790400697,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,"A Survey on Big Data Market: Pricing, Trading and Protection",grouped,but; challenge; unlike,"a marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-ba",0.3,0.5,Discussion,1
W4226305897->W2920282816,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,grouped,but; unlike,"a marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-ba",0.5,0.7,Result,1
W2934375453->W2743929098,Personal Data Market Optimization Pricing Model Based on Privacy Level,Data pricing strategy based on data quality,grouped,however,"ost studies assumed that the willingness to pay was a linear function [ 18,20]. However, the linear value function does not accurately capture the estimates of actual data and consumer’s self-selection behavior.",0.5,0.6,Methodology,1
W3195579788->W2168402580,Data pricing in machine learning pipelines,Query-based data pricing,high_confidence,challenge; however; limited,"ants [ 1]o rt h e number of data products [ 17]. In some application scenarios, however, it takes exponential time to compute the pricing functions with desirable properties, such as Shapley fairness [ 37], arbitrage-freeness [ 58], and revenue maximization [ 17]. For example, Koutris et al.  ... [a",0.5,0.8,Introduction,1
W3195579788->W2612128091,Data pricing in machine learning pipelines,QIRANA,high_confidence,drawback; however,"Both[29]a n d[ 75] support history-aware pricing in the same vein as [ 59]. One drawback of these history-based approaches is that the seller must provide reliable storage to keep users’ queryhistory [ 111].  ... [another target-aligned mention] ...  By tracking coupon status, the data seller guaran",0.5,0.7,Discussion,1
W3195579788->W2743929098,Data pricing in machine learning pipelines,Data pricing strategy based on data quality,high_confidence,problem,"ive list of quality criteria is proposedin [106]. Yu and Zhang [ 117] study the problem of trading multiple versions of a data set, constructed by different data quality factors. They assume customers’ demands and maximum acceptableprices of different versions are public.  ... [another target-aligne",0.5,0.7,Introduction,1
W3195579788->W3084177365,Data pricing in machine learning pipelines,A Survey on Data Pricing: From Economics to Data Science,grouped,but,roperties in data pricing and reviews the techniques achievingthose properties. But Pei [ 86] does not focus on machine learning pipeline and does not cover the studies of pricing data labels. The rest of this survey is organized as follows.  ... [another target-aligned mention] ...  2.4 Desiderata,0.0,0.7,Discussion,1
W3084177365->W2168402580,A Survey on Data Pricing: From Economics to Data Science,Query-based data pricing,high_confidence,problem,"Each level is modeled as a maximization problem and thus the whole model is a bi-level programming problem, which is NP-hard. Another way to form multiple versions of data products is to charge by queries [121]–[124]. Intuitively, a data seller may treat a vie",0.5,0.8,Methodology,1
W3084177365->W2293940046,A Survey on Data Pricing: From Economics to Data Science,Query-Based Data Pricing,high_confidence,problem,"Each level is modeled as a maximization problem and thus the whole model is a bi-level programming problem, which is NP-hard. Another way to form multiple versions of data products is to charge by queries [121]–[124]. Intuitively, a data seller may treat a vie",0.5,0.8,Methodology,1
W3084177365->W2734426755,A Survey on Data Pricing: From Economics to Data Science,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,high_confidence,but,"rom most of the work on data markets, they assume that data providers are distributed in space and there are three types of spa- tial queries from buyers, namely single-data query (e.g., inquiring the value at a speciﬁc location), multi-data query (e.g., inquiring the mean in a region) and range que",0.4,0.6,Introduction,1
W2790400697->W2765365501,"A Survey on Big Data Market: Pricing, Trading and Protection",Pricing of Data Products in Data Marketplaces,high_confidence,problem,trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based,0.5,0.7,Methodology,1
W2790400697->W2743929098,"A Survey on Big Data Market: Pricing, Trading and Protection",Data pricing strategy based on data quality,high_confidence,problem,trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based,0.5,0.6,Methodology,1
W3089176333->W2293940046,Towards Query Pricing on Incomplete Data,Query-Based Data Pricing,high_confidence,cannot; however; problem,"$6888 p45.5 256 $8188 the literature [13], [14], [15], [16], [17], [18], [19]. However, these existing pricing approaches are notsuitable for pricing incomplete data, since they do not consider data complete- ness.  ... [another target-aligned mention] ...  An arbitrage-free price function means th",0.5,0.6,Introduction,1
W3089176333->W2612128091,Towards Query Pricing on Incomplete Data,QIRANA,high_confidence,however; problem,"$6888 p45.5 256 $8188 the literature [13], [14], [15], [16], [17], [18], [19]. However, these existing pricing approaches are notsuitable for pricing incomplete data, since they do not consider data complete- ness.  ... [another target-aligned mention] ...  One can also compute other combined price",0.5,0.6,Methodology,1
W3089176333->W2920282816,Towards Query Pricing on Incomplete Data,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,high_confidence,problem,"orts on revenue maximizing arbitrage-free pricing [19], [43], [44], the pricing problem for trading time series data and personal data [45], [46], [47], [48], pricing queries while protecting the seller’s privacy [49], [50] or in cloud environments [51]. In contrast, another kind of pricing scheme c",0.0,0.3,Introduction,1
W2996741051->W2010653253,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,A survey of smart data pricing,high_confidence,however,"However, this issue has been largely neglected by the network operators in the literature. To obtain greater revenue, the network operators can adopt appropriate pricing strategies to directly affect the users’ demand [1",0.5,0.7,Introduction,1
W2473283431->W2180742472,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,Smart data pricing,high_confidence,however; problem,"...  The information can be treated as items traded in the market, and the main problem is how to set prices for the sensing infor- mation so that the service providers’ proﬁts are maximized. Consider a competitive market involving IoT service providers, the authors in [30] formulated the competitio",0.5,0.7,Methodology,1
W2790400697->W2168402580,"A Survey on Big Data Market: Pricing, Trading and Protection",Query-based data pricing,high_confidence,problem,trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based,0.5,0.3,Introduction,1
W2790400697->W2289113545,"A Survey on Big Data Market: Pricing, Trading and Protection",Smart data pricing models for the internet of things: a bundling strategy approach,high_confidence,problem,trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based,0.6,0.5,Discussion,1
W2790400697->W2293940046,"A Survey on Big Data Market: Pricing, Trading and Protection",Query-Based Data Pricing,high_confidence,problem,trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based,0.3,0.6,Methodology,1
W2790400697->W2473283431,"A Survey on Big Data Market: Pricing, Trading and Protection",Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,high_confidence,but,"-aligned mention] ...  The payoff result will be affected not only by one play, but also by others [63]. In [56] and [64], the authors designed a pricing model to evaluate IoT sensing data. In the model, all vendors sell their data in a competitive manner, and they deﬁne this model as non-cooperativ",0.5,0.6,Methodology,1
W2790400697->W2734426755,"A Survey on Big Data Market: Pricing, Trading and Protection",An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,high_confidence,problem,trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based,0.3,0.6,Result,1
W4226305897->W2533772775,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,A pricing model for Big Personal Data,grouped,but; unlike,"a marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-ba",0.5,0.7,Result,1
W3021125948->W2010653253,Contract Design in Hierarchical Game for Sponsored Content Service Market,A survey of smart data pricing,high_confidence,problem,"s the optimal price pto solve the following payoff, i.e., utility, maximization problem: UMNO (p) =XN i=1i[(1",0.5,0.3,Methodology,1
W2942073230->W2765365501,Big Data Market Optimization Pricing Model Based on Data Quality,Pricing of Data Products in Data Marketplaces,grouped,but; limited,"as m a l la m o u n to fd a t ai scurrently being fully utilized and its use is limited as well. Thereuse of these data can create huge commercial value, whichis the true meaning of big data.  ... [another target-aligned mention] ...  In other words, we can create anynumber of quality levels based o",0.5,0.4,Methodology,1
W2921968831->W2759182208,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,Pricing privacy – the right to know the value of your personal data,high_confidence,however,"s [10], this approach also has investigated in previous works [18], [28], [33]. However, it was still ambiguous about the feasibility of the IoT data market with personal data providers’ incentives; in other words, how 2169-3536 (c) 2018 IEEE.",0.5,0.7,Methodology,1
W2906578628->W2473283431,The Internet of Things: A Review of Enabled Technologies and Future Challenges,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,high_confidence,but; challenge,"chine 4G Fourth Generation NB Narrowband 5G Fifth Generation analyzed and distributed for a safer drive.  ... [another target-aligned mention] ...  Various IoT paradigms have been proposed in the litera- ture [164]–[167], which provide sufﬁcient knowledge about the stated characteristics. The WSN-ba",0.4,0.7,Discussion,1
W4319769514->W2293940046,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",Query-Based Data Pricing,high_confidence,problem,"Koutris et al. [25] transformed the query-based pricing problem into a network ﬂow problem and automatically derived the price of any query from the price of a given set of views. After that, they adopted a dif- ferent perspective, which transformed the query-based pricing pr",0.5,0.6,Methodology,1
W4284704402->W3215634159,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,high_confidence,but,"le cloud environment. They used smart contracts for secure e-health data [167]. But, data conﬁ dentiality is still not on point.",0.5,0.4,Other,1
W2327152018->W2010653253,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,A survey of smart data pricing,high_confidence,challenge,oad their cellular trafﬁc [3]–[5]. Such supplementary offer- ings introduce new challenges for users as they decide Y.,0.0,0.25,Introduction,1
W4281710558->W3215634159,Blockchain for Future Wireless Networks: A Decade Survey,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,high_confidence,although; however,"n 5G has decreased substantially, resulting in fast download and upload speeds. Although 5G networks are becoming a reality, technologists have already started to be engaged with fu- ture WNs, i.e., 6G, which anticipates putting greater prominence on wearable technologies, unmanned aerial vehicles (",0.5,0.4,Introduction,1
W2581979418->W1998665878,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,When Network Effect Meets Congestion Effect,grouped,but,nal on Selected Areas in Communications Algorithm 2: Achieve the UDE in a distributed manner in Stage II 1each useri2N chooses an initial usage x(0) i0; 2loop at each time interval t= 1;2;::: 3each useri2N in parallel: 4updates its usage as x(t+1) i = arg max xi2[0;1)ui(xi;x(t),0.5,0.7,Introduction,1
W2734445852->W2293940046,A First Look at Information Entropy-Based Data Pricing,Query-Based Data Pricing,high_confidence,although; problem,"s, and also provides the possibility to data buyers to issue and buy any query. Although the price of queries can be calculated automatically from explicit prices of views using the framework proposed in [12], guidance for assigning reasonable price to views of datasets is not provided in [12]. 3) B",0.5,0.7,Methodology,1
W3195579788->W3089176333,Data pricing in machine learning pipelines,Towards Query Pricing on Incomplete Data,high_confidence,drawback; problem,"Miao et al. [ 75] study the problem of pricing selection-projection-natural join queries over incomplete databases. An arbitrage-free pricing function is proposed based on the idea ofdata provenance, which describes the origins of a piece of data a",0.5,0.8,Methodology,1
W3084177365->W2126626399,A Survey on Data Pricing: From Economics to Data Science,The Price Is Right,high_confidence,limited,ranularity of data. Their model assigns to each tuple a Authorized licensed use limited to: Carleton University.,0.5,0.6,Other,1
W3195579788->W2126626399,Data pricing in machine learning pipelines,The Price Is Right,grouped,problem,"[ 75] study the problem of pricing selection-projection-natural join queries over incomplete databases. An arbitrage-free pricing function is proposed based on the idea ofdata provenance, which describes the origins of a piece of data a",0.5,0.6,Methodology,1
W4226305897->W2916829860,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,grouped,but,"cloud resources [ 57], spatial data [ 58], aggregated data from multiple distributed system [ 59], and data acquired from Application Programming Interfaces (APIs) [ 60]. Moreover, Tang et al.",0.0,0.3,Methodology,1
W3089176333->W2126626399,Towards Query Pricing on Incomplete Data,The Price Is Right,high_confidence,but; cannot; limited; problem,"ntion] ...  In addition, Baseline is able to get the price accurately, while it cannot be done by AD&C. The approximate ratio AD&C is equal to n, i.e., the number of result tuples stored in Q(D)[26]. The approximate ratio is the ratio of the approximate price (derived by AD&C) to the exact price.  .",0.5,0.7,Methodology,1
W3021370403->W2921968831,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,high_confidence,although; however,"However, ignoring supplyconditions makes it dif cult to derive the most appro- priate price. Supply and demand model [17], [18]: In this kind of model, the relationship between suppliers and deman- ders is the most impo",0.5,0.7,Methodology,1
W2996741051->W2342966760,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,Time and Location Aware Mobile Data Pricing,high_confidence,cannot; limitation; limited,"tor becomes oversubscribed, its sub- scribers suffer from the congestion due to limited bandwidth and radio resources [33]. Consequently, the model introduced in [8], [9], [27], [28] has a major limitation as it cannot be applied into the wireless network environments, in which the 1536-1276 (c) 201",0.0,0.3,Introduction,1
W2996741051->W2581979418,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,high_confidence,but; cannot; however,"s’ data demand is not only subject to the network effects in the social domain, but also the congestion effects in the network domain.  ... [another target-aligned mention] ...  However, most of existing works ignore to take homophily phenomenon into consideration, i.e., network effects, for designi",0.5,0.9,Introduction,1
