edge_id,source_id,target_id,has_llm_score,alignment_status,section,sentiment,relevance,confidence,q_ij,q_source,shared_authors_count,rho_ij,rho_extended,tau_ij,w_semantic,w_time,w_semantic_temporal,w_semantic_relation,w_full_final,w_extended_final,q_no_sentiment,w_semantic_no_sentiment,w_semantic_temporal_no_sentiment,w_full_no_sentiment
W4323644227->W2168402580,W4323644227,W2168402580,True,high_confidence,Methodology,0.4,0.5,0.8,0.175,DeepSeek_target_aligned,0,1.0,1.0,0.3125,0.175,0.3125,0.0546875,0.175,0.0546875,0.0546875,0.25,0.25,0.078125,0.078125
W4210813858->W2533772775,W4210813858,W2533772775,True,high_confidence,Introduction,0.5,0.6,0.9,0.108,DeepSeek_target_aligned,0,1.0,1.0,0.45454545454545453,0.108,0.45454545454545453,0.04909090909090909,0.108,0.04909090909090909,0.04909090909090909,0.144,0.144,0.06545454545454545,0.06545454545454545
W4210813858->W2743929098,W4210813858,W2743929098,True,high_confidence,Introduction,0.3,0.4,0.9,0.0416,DeepSeek_target_aligned,0,1.0,1.0,0.5,0.0416,0.5,0.0208,0.0416,0.0208,0.0208,0.064,0.064,0.032,0.032
W4210813858->W2910976764,W4210813858,W2910976764,True,high_confidence,Introduction,0.0,0.3,0.9,0.018,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.018,0.7142857142857143,0.012857142857142857,0.018,0.012857142857142857,0.012857142857142857,0.036,0.036,0.025714285714285714,0.025714285714285714
W4210813858->W3084177365,W4210813858,W3084177365,True,high_confidence,Introduction,0.0,0.1,0.95,0.002,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.002,0.7142857142857143,0.0014285714285714286,0.002,0.0014285714285714286,0.0014285714285714286,0.004,0.004,0.002857142857142857,0.002857142857142857
W3121561769->W2974598553,W3121561769,W2974598553,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.8333333333333334,0.3,0.8333333333333334,0.25,0.3,0.25,0.25,0.3,0.3,0.25,0.25
W2956647116->W2790400697,W2956647116,W2790400697,True,high_confidence,Introduction,0.0,0.3,0.9,0.018,DeepSeek_target_aligned,0,1.0,1.0,0.8333333333333334,0.018,0.8333333333333334,0.015,0.018,0.015,0.015,0.036,0.036,0.03,0.03
W2982407593->W2612128091,W2982407593,W2612128091,True,high_confidence,Methodology,0.3,0.6,0.9,0.2339999999999999,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.2339999999999999,0.7142857142857143,0.16714285714285707,0.2339999999999999,0.16714285714285707,0.16714285714285707,0.3599999999999998,0.3599999999999998,0.257142857142857,0.257142857142857
W1516789636->W1777686370,W1516789636,W1777686370,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,0.5,0.7142857142857143,0.3,0.7142857142857143,0.21428571428571427,0.3,0.21428571428571427,0.10714285714285714,0.3,0.3,0.21428571428571427,0.21428571428571427
W3117086259->W2910976764,W3117086259,W2910976764,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,1.0,0.3,1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
W3117086259->W2974598553,W3117086259,W2974598553,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.8333333333333334,0.3,0.8333333333333334,0.25,0.3,0.25,0.25,0.3,0.3,0.25,0.25
W4377287661->W2018362551,W4377287661,W2018362551,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.38461538461538464,0.3,0.38461538461538464,0.11538461538461539,0.3,0.11538461538461539,0.11538461538461539,0.3,0.3,0.11538461538461539,0.11538461538461539
W3202764263->W2790400697,W3202764263,W2790400697,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.3,0.3,0.16666666666666666,0.16666666666666666
W3202764263->W2974598553,W3202764263,W2974598553,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.625,0.3,0.625,0.1875,0.3,0.1875,0.1875,0.3,0.3,0.1875,0.1875
W4312395603->W2743929098,W4312395603,W2743929098,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5,0.3,0.5,0.15,0.3,0.15,0.15,0.3,0.3,0.15,0.15
W4312395603->W2790400697,W4312395603,W2790400697,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.3,0.3,0.16666666666666666,0.16666666666666666
W4312395603->W3084177365,W4312395603,W3084177365,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.7142857142857143,0.3,0.7142857142857143,0.21428571428571427,0.3,0.21428571428571427,0.21428571428571427,0.3,0.3,0.21428571428571427,0.21428571428571427
W2509511072->W1994174199,W2509511072,W1994174199,True,high_confidence,Introduction,0.5,0.6,0.9,0.108,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.108,0.7142857142857143,0.07714285714285714,0.108,0.07714285714285714,0.07714285714285714,0.144,0.144,0.10285714285714286,0.10285714285714286
W2509511072->W2010653253,W2509511072,W2010653253,True,high_confidence,Introduction,0.0,0.3,0.9,0.018,DeepSeek_target_aligned,1,0.5,0.14285714285714285,0.625,0.018,0.625,0.01125,0.009,0.005625,0.001607142857142857,0.036,0.036,0.0225,0.01125
W4288391541->W3215634159,W4288391541,W3215634159,True,high_confidence,Introduction,0.0,0.6,0.9,0.072,DeepSeek_target_aligned,2,0.3333333333333333,0.05,0.8333333333333334,0.072,0.8333333333333334,0.06,0.023999999999999997,0.019999999999999997,0.003,0.144,0.144,0.12,0.039999999999999994
W2919782326->W2168402580,W2919782326,W2168402580,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.4166666666666667,0.3,0.4166666666666667,0.125,0.3,0.125,0.125,0.3,0.3,0.125,0.125
W4210813858->W2612128091,W4210813858,W2612128091,True,high_confidence,Introduction,0.4,0.6,0.9,0.1007999999999999,DeepSeek_target_aligned,0,1.0,1.0,0.5,0.1007999999999999,0.5,0.05039999999999995,0.1007999999999999,0.05039999999999995,0.05039999999999995,0.14399999999999988,0.14399999999999988,0.07199999999999994,0.07199999999999994
W4210813858->W2293940046,W4210813858,W2293940046,True,high_confidence,Introduction,0.3,0.3,0.8,0.0234,DeepSeek_target_aligned,0,1.0,1.0,0.4166666666666667,0.0234,0.4166666666666667,0.00975,0.0234,0.00975,0.00975,0.036,0.036,0.015,0.015
W2508874533->W2010653253,W2508874533,W2010653253,True,grouped,Introduction,0.3,0.5,0.8,0.065,DeepSeek_target_aligned,0,1.0,1.0,0.625,0.065,0.625,0.040625,0.065,0.040625,0.040625,0.1,0.1,0.0625,0.0625
W3123243120->W2974598553,W3123243120,W2974598553,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,0.5,1.0,0.3,1.0,0.3,0.3,0.3,0.15,0.3,0.3,0.3,0.3
W4226305897->W2734426755,W4226305897,W2734426755,True,grouped,Discussion,0.0,0.2,0.8,0.014,DeepSeek_target_aligned,0,1.0,1.0,0.5555555555555556,0.014,0.5555555555555556,0.007777777777777778,0.014,0.007777777777777778,0.007777777777777778,0.028,0.028,0.015555555555555557,0.015555555555555557
W4226305897->W2743929098,W4226305897,W2743929098,True,high_confidence,Methodology,0.3,0.5,0.7,0.1625,DeepSeek_target_aligned,0,1.0,1.0,0.5555555555555556,0.1625,0.5555555555555556,0.09027777777777779,0.1625,0.09027777777777779,0.09027777777777779,0.25,0.25,0.1388888888888889,0.1388888888888889
W4226305897->W2765365501,W4226305897,W2765365501,True,grouped,Result,0.3,0.4,0.8,0.104,DeepSeek_target_aligned,0,1.0,1.0,0.5555555555555556,0.104,0.5555555555555556,0.057777777777777775,0.104,0.057777777777777775,0.057777777777777775,0.15999999999999998,0.15999999999999998,0.08888888888888888,0.08888888888888888
W4226305897->W2790400697,W4226305897,W2790400697,True,grouped,Other,0.0,0.3,0.8,0.009,DeepSeek_target_aligned,0,1.0,1.0,0.625,0.009,0.625,0.005625,0.009,0.005625,0.005625,0.018,0.018,0.01125,0.01125
W4226305897->W2920282816,W4226305897,W2920282816,True,grouped,Result,0.5,0.6,0.8,0.27,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.27,0.7142857142857143,0.19285714285714287,0.27,0.19285714285714287,0.19285714285714287,0.36000000000000004,0.36000000000000004,0.2571428571428572,0.2571428571428572
W2758203152->W2010653253,W2758203152,W2010653253,False,,Other,0.0,0.0,,0.3,default_fallback,1,0.5,0.09090909090909091,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.15,0.08333333333333333,0.015151515151515152,0.3,0.3,0.16666666666666666,0.08333333333333333
W4323644227->W2612128091,W4323644227,W2612128091,True,high_confidence,Other,0.3,0.8,0.9,0.0832,DeepSeek_target_aligned,0,1.0,1.0,0.45454545454545453,0.0832,0.45454545454545453,0.03781818181818181,0.0832,0.03781818181818181,0.03781818181818181,0.128,0.128,0.05818181818181818,0.05818181818181818
W3202603574->W2974598553,W3202603574,W2974598553,True,high_confidence,Other,0.0,0.0,0.9,0.0,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W3206864493->W2974598553,W3206864493,W2974598553,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.7142857142857143,0.3,0.7142857142857143,0.21428571428571427,0.3,0.21428571428571427,0.21428571428571427,0.3,0.3,0.21428571428571427,0.21428571428571427
W3210061505->W2293940046,W3210061505,W2293940046,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.45454545454545453,0.3,0.45454545454545453,0.13636363636363635,0.3,0.13636363636363635,0.13636363636363635,0.3,0.3,0.13636363636363635,0.13636363636363635
W3210061505->W2533772775,W3210061505,W2533772775,False,,Other,0.0,0.0,,0.3,default_fallback,5,0.16666666666666666,0.023255813953488372,0.5,0.3,0.5,0.15,0.049999999999999996,0.024999999999999998,0.0034883720930232558,0.3,0.3,0.15,0.024999999999999998
W3210061505->W2743929098,W3210061505,W2743929098,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.3,0.3,0.16666666666666666,0.16666666666666666
W3210061505->W2759182208,W3210061505,W2759182208,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.3,0.3,0.16666666666666666,0.16666666666666666
W3210061505->W2765365501,W3210061505,W2765365501,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.3,0.3,0.16666666666666666,0.16666666666666666
W3210061505->W2790400697,W3210061505,W2790400697,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.625,0.3,0.625,0.1875,0.3,0.1875,0.1875,0.3,0.3,0.1875,0.1875
W3210061505->W2920282816,W3210061505,W2920282816,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.7142857142857143,0.3,0.7142857142857143,0.21428571428571427,0.3,0.21428571428571427,0.21428571428571427,0.3,0.3,0.21428571428571427,0.21428571428571427
W4220901737->W2765365501,W4220901737,W2765365501,True,high_confidence,Other,0.0,0.9,0.95,0.081,DeepSeek_target_aligned,0,1.0,1.0,0.5,0.081,0.5,0.0405,0.081,0.0405,0.0405,0.162,0.162,0.081,0.081
W4220901737->W2790400697,W4220901737,W2790400697,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.3,0.3,0.16666666666666666,0.16666666666666666
W2289113545->W1994174199,W2289113545,W1994174199,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.7142857142857143,0.3,0.7142857142857143,0.21428571428571427,0.3,0.21428571428571427,0.21428571428571427,0.3,0.3,0.21428571428571427,0.21428571428571427
W2919782326->W2612128091,W2919782326,W2612128091,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.7142857142857143,0.3,0.7142857142857143,0.21428571428571427,0.3,0.21428571428571427,0.21428571428571427,0.3,0.3,0.21428571428571427,0.21428571428571427
W4377865288->W2910976764,W4377865288,W2910976764,True,grouped,Introduction,0.5,0.6,0.8,0.108,DeepSeek_target_aligned,0,1.0,1.0,0.625,0.108,0.625,0.0675,0.108,0.0675,0.0675,0.144,0.144,0.09,0.09
W4226305897->W2293940046,W4226305897,W2293940046,True,high_confidence,Methodology,0.5,0.8,0.9,0.4800000000000001,DeepSeek_target_aligned,0,1.0,1.0,0.45454545454545453,0.4800000000000001,0.45454545454545453,0.21818181818181823,0.4800000000000001,0.21818181818181823,0.21818181818181823,0.6400000000000001,0.6400000000000001,0.29090909090909095,0.29090909090909095
W3121615946->W2533772775,W3121615946,W2533772775,False,,Other,0.0,0.0,,0.3,default_fallback,0,1.0,1.0,0.5555555555555556,0.3,0.5555555555555556,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.3,0.3,0.16666666666666666,0.16666666666666666
W2514159439->W2045522464,W2514159439,W2045522464,True,high_confidence,Methodology,0.0,0.9,1.0,0.405,DeepSeek_target_aligned,0,1.0,0.5,0.8333333333333334,0.405,0.8333333333333334,0.3375,0.405,0.3375,0.16875,0.81,0.81,0.675,0.675
W2934375453->W2743929098,W2934375453,W2743929098,True,grouped,Methodology,0.5,0.6,0.9,0.27,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.27,0.7142857142857143,0.19285714285714287,0.27,0.19285714285714287,0.19285714285714287,0.36000000000000004,0.36000000000000004,0.2571428571428572,0.2571428571428572
W2934375453->W2759182208,W2934375453,W2759182208,True,grouped,Methodology,0.5,0.6,0.7,0.27,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.27,0.7142857142857143,0.19285714285714287,0.27,0.19285714285714287,0.19285714285714287,0.36000000000000004,0.36000000000000004,0.2571428571428572,0.2571428571428572
W3195579788->W2168402580,W3195579788,W2168402580,True,high_confidence,Introduction,0.5,0.7,0.8,0.147,DeepSeek_target_aligned,0,1.0,1.0,0.3333333333333333,0.147,0.3333333333333333,0.048999999999999995,0.147,0.048999999999999995,0.048999999999999995,0.19599999999999998,0.19599999999999998,0.06533333333333333,0.06533333333333333
W3195579788->W2473283431,W3195579788,W2473283431,True,high_confidence,Other,0.0,0.7,0.9,0.0489999999999999,DeepSeek_target_aligned,0,1.0,1.0,0.45454545454545453,0.0489999999999999,0.45454545454545453,0.022272727272727225,0.0489999999999999,0.022272727272727225,0.022272727272727225,0.0979999999999998,0.0979999999999998,0.04454545454545445,0.04454545454545445
W3195579788->W2612128091,W3195579788,W2612128091,True,high_confidence,Introduction,0.5,0.8,0.9,0.192,DeepSeek_target_aligned,0,1.0,1.0,0.5,0.192,0.5,0.096,0.192,0.096,0.096,0.256,0.256,0.128,0.128
W3195579788->W2743929098,W3195579788,W2743929098,True,high_confidence,Methodology,0.5,0.8,0.9,0.4800000000000001,DeepSeek_target_aligned,0,1.0,1.0,0.5,0.4800000000000001,0.5,0.24000000000000005,0.4800000000000001,0.24000000000000005,0.24000000000000005,0.6400000000000001,0.6400000000000001,0.32000000000000006,0.32000000000000006
W3195579788->W2765365501,W3195579788,W2765365501,True,grouped,Introduction,0.5,0.4,0.8,0.048,DeepSeek_target_aligned,0,1.0,1.0,0.5,0.048,0.5,0.024,0.048,0.024,0.024,0.064,0.064,0.032,0.032
W3195579788->W2790400697,W3195579788,W2790400697,True,grouped,Introduction,0.0,0.1,0.9,0.002,DeepSeek_target_aligned,0,1.0,1.0,0.5555555555555556,0.002,0.5555555555555556,0.0011111111111111111,0.002,0.0011111111111111111,0.0011111111111111111,0.004,0.004,0.0022222222222222222,0.0022222222222222222
W3195579788->W3084177365,W3195579788,W3084177365,True,grouped,Introduction,0.4,0.7,0.9,0.1371999999999999,DeepSeek_target_aligned,0,1.0,0.5,0.7142857142857143,0.1371999999999999,0.7142857142857143,0.09799999999999993,0.1371999999999999,0.09799999999999993,0.04899999999999997,0.19599999999999987,0.19599999999999987,0.1399999999999999,0.1399999999999999
W3084177365->W2010653253,W3084177365,W2010653253,True,high_confidence,Introduction,0.3,0.5,0.9,0.065,DeepSeek_target_aligned,0,1.0,1.0,0.4166666666666667,0.065,0.4166666666666667,0.027083333333333334,0.065,0.027083333333333334,0.027083333333333334,0.1,0.1,0.04166666666666667,0.04166666666666667
W3084177365->W2168402580,W3084177365,W2168402580,True,high_confidence,Methodology,0.5,0.8,0.9,0.4800000000000001,DeepSeek_target_aligned,0,1.0,1.0,0.38461538461538464,0.4800000000000001,0.38461538461538464,0.18461538461538465,0.4800000000000001,0.18461538461538465,0.18461538461538465,0.6400000000000001,0.6400000000000001,0.24615384615384622,0.24615384615384622
W3084177365->W2293940046,W3084177365,W2293940046,True,high_confidence,Methodology,0.5,0.8,0.9,0.4800000000000001,DeepSeek_target_aligned,0,1.0,1.0,0.5,0.4800000000000001,0.5,0.24000000000000005,0.4800000000000001,0.24000000000000005,0.24000000000000005,0.6400000000000001,0.6400000000000001,0.32000000000000006,0.32000000000000006
W3084177365->W2612128091,W3084177365,W2612128091,True,high_confidence,Methodology,0.5,0.8,0.9,0.4800000000000001,DeepSeek_target_aligned,0,1.0,1.0,0.625,0.4800000000000001,0.625,0.30000000000000004,0.4800000000000001,0.30000000000000004,0.30000000000000004,0.6400000000000001,0.6400000000000001,0.4000000000000001,0.4000000000000001
W3084177365->W2734426755,W3084177365,W2734426755,True,high_confidence,Introduction,0.6,0.7,0.9,0.1568,DeepSeek_target_aligned,0,1.0,1.0,0.625,0.1568,0.625,0.098,0.1568,0.098,0.098,0.19599999999999998,0.19599999999999998,0.12249999999999998,0.12249999999999998
W3084177365->W2743929098,W3084177365,W2743929098,True,high_confidence,Methodology,0.5,0.7,0.9,0.3674999999999999,DeepSeek_target_aligned,0,1.0,1.0,0.625,0.3674999999999999,0.625,0.22968749999999993,0.3674999999999999,0.22968749999999993,0.22968749999999993,0.4899999999999998,0.4899999999999998,0.3062499999999999,0.3062499999999999
W3084177365->W2765365501,W3084177365,W2765365501,True,high_confidence,Introduction,0.5,0.4,0.9,0.048,DeepSeek_target_aligned,0,1.0,1.0,0.625,0.048,0.625,0.03,0.048,0.03,0.03,0.064,0.064,0.04,0.04
W3084177365->W2790400697,W3084177365,W2790400697,True,high_confidence,Introduction,0.3,0.5,0.9,0.065,DeepSeek_target_aligned,0,1.0,1.0,0.7142857142857143,0.065,0.7142857142857143,0.04642857142857143,0.065,0.04642857142857143,0.04642857142857143,0.1,0.1,0.07142857142857144,0.07142857142857144
W3084177365->W2974598553,W3084177365,W2974598553,True,high_confidence,Introduction,0.7,0.9,1.0,0.2754,DeepSeek_target_aligned,0,1.0,1.0,0.8333333333333334,0.2754,0.8333333333333334,0.22949999999999998,0.2754,0.22949999999999998,0.22949999999999998,0.324,0.324,0.27,0.27
